source,target,book,value
Legolas,Gimli,02 - The Two Towers.txt,14
Legolas,Aragorn,02 - The Two Towers.txt,2
Merry,Frodo,02 - The Two Towers.txt,1
Frodo,Sam,02 - The Two Towers.txt,37
Gandalf,Saruman,02 - The Two Towers.txt,6
Boromir,Denethor,02 - The Two Towers.txt,3
Sam,Gimli,02 - The Two Towers.txt,1
Legolas,Frodo,02 - The Two Towers.txt,1
Gimli,Frodo,02 - The Two Towers.txt,1
Aragorn,Legolas,02 - The Two Towers.txt,1
Pippin,Gimli,02 - The Two Towers.txt,1
Gandalf,Gimli,02 - The Two Towers.txt,4
Éomer,Éomund,02 - The Two Towers.txt,5
Gimli,Legolas,02 - The Two Towers.txt,8
Éothain,Éomer,02 - The Two Towers.txt,1
Gandalf,Théoden,02 - The Two Towers.txt,7
Gandalf,Shadowfax,02 - The Two Towers.txt,3
Boromir,Éomer,02 - The Two Towers.txt,1
Éomund,Théoden,02 - The Two Towers.txt,1
Éomer,Éothain,02 - The Two Towers.txt,1
Gimli,Éomer,02 - The Two Towers.txt,1
Boromir,Celeborn,02 - The Two Towers.txt,1
Merry,Pippin,02 - The Two Towers.txt,6
Gandalf,Frodo,02 - The Two Towers.txt,1
Pippin,Grishnákh,02 - The Two Towers.txt,1
Grishnákh,Pippin,02 - The Two Towers.txt,1
Merry,Treebeard,02 - The Two Towers.txt,1
Gandalf,Treebeard,02 - The Two Towers.txt,3
Elrond,Tom Bombadil,02 - The Two Towers.txt,1
Tom Bombadil,Galadriel,02 - The Two Towers.txt,1
Treebeard,Gandalf,02 - The Two Towers.txt,5
Sam,Gandalf,02 - The Two Towers.txt,2
Gandalf,Galadriel,02 - The Two Towers.txt,1
Saruman,Pippin,02 - The Two Towers.txt,2
Saruman,Treebeard,02 - The Two Towers.txt,2
Finglas,Fladrif,02 - The Two Towers.txt,2
Treebeard,Merry,02 - The Two Towers.txt,4
Treebeard,Bregalad,02 - The Two Towers.txt,1
Bregalad,Treebeard,02 - The Two Towers.txt,1
Boromir,Merry,02 - The Two Towers.txt,1
Gandalf,Legolas,02 - The Two Towers.txt,5
Frodo,Gimli,02 - The Two Towers.txt,1
Saruman,Gimli,02 - The Two Towers.txt,3
Saruman,Gandalf,02 - The Two Towers.txt,8
Gimli,Glóin,02 - The Two Towers.txt,5
Gimli,Gandalf,02 - The Two Towers.txt,3
Théoden,Gandalf,02 - The Two Towers.txt,9
Legolas,Gandalf,02 - The Two Towers.txt,3
Wormtongue,Théoden,02 - The Two Towers.txt,3
Théoden,Wormtongue,02 - The Two Towers.txt,1
Wormtongue,Gandalf,02 - The Two Towers.txt,5
Théoden,Háma,02 - The Two Towers.txt,2
Théoden,Denethor,02 - The Two Towers.txt,1
Denethor,Háma,02 - The Two Towers.txt,1
Shadowfax,Éomer,02 - The Two Towers.txt,1
Éomer,Wormtongue,02 - The Two Towers.txt,3
Gandalf,Éomer,02 - The Two Towers.txt,2
Théoden,Éomer,02 - The Two Towers.txt,2
Éomer,Saruman,02 - The Two Towers.txt,2
Éomer,Gandalf,02 - The Two Towers.txt,1
Éomer,Éowyn,02 - The Two Towers.txt,1
Saruman,Éomer,02 - The Two Towers.txt,1
Éomer,Théoden,02 - The Two Towers.txt,2
Éomer,Háma,02 - The Two Towers.txt,1
Éowyn,Éomund,02 - The Two Towers.txt,1
Éomund,Gimli,02 - The Two Towers.txt,1
Legolas,Éomer,02 - The Two Towers.txt,3
Shadowfax,Gandalf,02 - The Two Towers.txt,3
Erkenbrand,Théoden,02 - The Two Towers.txt,1
Gandalf,Erkenbrand,02 - The Two Towers.txt,1
Éomer,Gimli,02 - The Two Towers.txt,1
Legolas,Gamling,02 - The Two Towers.txt,1
Aragorn,Éomer,02 - The Two Towers.txt,1
Saruman,Gamling,02 - The Two Towers.txt,1
