id_operacion,id_producto,cantidad_producto
1,261,24
1,172,18
1,169,34
1,41,6
1,127,40
1,244,45
1,74,23
1,174,10
1,80,12
1,237,40
1,241,22
1,105,7
1,91,19
2,110,47
2,172,50
2,174,21
2,232,44
2,241,13
2,107,18
3,72,4
3,264,6
3,209,36
3,172,49
3,9,5
3,86,32
3,174,46
3,127,20
3,114,21
3,118,36
3,104,45
3,8,18
3,237,27
3,171,45
3,218,12
3,243,4
3,28,15
4,24,4
4,172,10
4,65,19
4,95,28
4,247,42
4,33,46
4,277,1
4,240,50
4,103,22
4,196,18
4,231,49
4,270,7
4,44,9
4,245,32
4,174,47
4,169,18
4,279,45
4,214,19
4,221,12
4,264,36
5,253,27
5,164,32
5,204,1
5,63,47
5,190,7
5,76,23
5,62,2
5,47,50
6,212,50
6,166,25
6,238,22
6,84,43
6,250,5
6,92,48
6,182,49
6,164,36
6,175,28
6,38,33
6,76,32
6,40,33
6,234,14
7,164,30
7,89,15
7,2,2
7,121,12
7,208,18
7,222,37
7,187,44
7,95,21
7,57,37
7,260,21
8,209,13
8,34,41
8,164,27
8,131,41
8,217,29
8,216,21
8,212,14
8,99,15
8,198,18
8,187,48
8,166,19
8,248,11
9,158,16
9,175,34
9,112,46
9,22,28
9,241,6
9,185,9
9,226,45
9,207,19
9,3,41
10,193,2
10,60,37
10,192,13
10,87,8
10,111,1
10,100,6
10,73,24
10,187,3
10,81,7
10,42,10
10,160,48
10,158,42
10,154,30
10,207,32
10,224,2
10,101,47
10,128,1
10,252,22
10,263,7
11,97,16
11,137,32
11,167,2
11,256,4
11,76,23
11,142,22
11,26,34
11,109,18
11,101,8
11,35,23
11,148,21
11,267,7
11,8,29
11,220,48
11,112,30
11,81,49
11,122,11
12,242,4
12,115,8
12,272,6
12,5,7
12,160,13
12,177,24
12,232,1
12,76,50
12,112,14
12,168,26
12,277,5
12,35,30
12,31,4
12,205,32
13,35,35
13,112,26
13,204,1
13,177,27
13,45,27
13,156,10
13,266,11
13,76,3
13,209,24
13,263,4
13,27,20
13,274,40
14,112,10
14,76,4
15,59,23
15,72,36
15,157,12
15,159,35
15,7,16
15,27,26
15,146,37
15,166,48
15,238,10
15,53,17
15,56,21
15,19,50
15,200,2
16,269,21
16,194,29
16,179,33
16,105,18
16,68,27
16,7,46
16,25,2
16,238,10
16,46,27
16,203,48
16,192,46
16,104,1
16,138,38
16,178,36
16,218,48
17,65,26
17,212,39
17,7,11
17,22,44
17,238,46
17,99,19
18,269,39
18,61,29
18,254,16
18,102,21
18,75,32
18,13,39
18,36,6
19,207,47
19,193,38
19,269,26
19,273,13
19,73,49
19,233,9
19,43,3
19,89,15
19,264,50
19,97,50
19,258,40
19,13,13
19,249,42
19,215,22
19,75,33
19,71,44
19,225,14
19,139,25
19,91,50
19,68,26
20,253,21
20,128,23
20,124,30
20,214,23
20,144,19
20,220,23
20,108,43
20,208,13
20,247,6
20,257,40
20,145,50
20,80,16
21,128,45
21,144,23
22,201,2
22,257,44
22,214,21
22,233,47
22,128,29
22,144,26
22,54,19
23,99,4
23,219,32
23,225,42
23,130,10
23,121,50
23,156,27
23,2,5
23,195,16
23,262,24
23,246,42
23,247,35
23,274,45
23,170,41
23,171,41
23,26,2
23,136,15
23,217,7
23,229,38
24,161,20
24,139,3
24,233,14
24,17,18
24,32,3
24,2,6
24,14,18
24,246,38
24,170,31
24,61,28
24,121,15
24,23,44
25,171,38
25,170,41
25,145,7
25,2,32
25,13,3
25,254,25
25,4,30
25,110,30
25,168,24
25,190,22
25,196,48
25,185,9
25,42,33
25,245,26
25,26,50
25,43,22
25,122,39
25,72,50
26,2,19
26,256,2
26,117,32
26,179,28
26,115,26
26,97,12
26,170,39
26,76,19
27,210,12
27,56,50
27,26,7
27,100,11
27,201,24
27,205,36
27,264,40
27,272,1
27,227,16
27,35,46
27,5,31
27,217,15
27,39,28
27,247,16
27,161,7
27,3,3
27,145,18
28,241,26
28,157,38
28,156,43
28,109,46
28,110,33
28,39,3
28,35,36
28,56,10
28,81,39
28,132,33
28,232,35
28,40,16
28,278,35
28,204,21
28,231,4
28,59,25
28,212,11
29,56,9
29,112,22
29,35,48
29,277,29
30,81,6
30,199,39
30,252,28
30,56,24
30,35,50
30,276,47
30,122,11
30,24,17
30,236,19
30,102,7
30,133,3
30,40,7
31,235,9
31,234,38
31,258,6
31,15,3
31,30,41
31,216,5
31,212,38
31,158,8
31,31,7
31,38,49
31,18,46
31,73,1
31,3,45
31,273,21
32,7,47
32,48,30
32,234,33
32,195,32
32,114,21
32,65,45
33,272,46
33,108,49
33,172,16
33,163,24
33,182,2
33,143,13
33,121,24
33,135,3
33,83,40
33,196,44
33,177,44
33,3,38
33,165,8
33,100,10
33,82,21
33,173,22
33,115,42
33,160,42
33,234,3
33,7,36
34,71,37
34,231,48
34,266,22
34,223,44
34,234,27
34,78,3
34,77,2
34,229,18
34,12,47
34,107,43
34,237,17
34,87,30
34,279,24
34,177,9
34,88,45
34,136,10
34,185,30
34,116,3
34,176,41
35,46,35
35,123,33
35,49,37
35,230,1
35,107,33
35,94,15
35,183,44
35,89,29
35,192,32
35,12,36
35,121,43
35,86,27
35,138,43
35,200,39
35,268,3
35,67,48
35,180,22
35,134,46
35,244,31
35,79,47
36,227,28
36,89,33
36,176,7
36,201,10
36,18,1
37,29,27
37,69,41
37,58,17
37,154,45
37,263,25
37,13,15
37,186,23
37,133,20
37,137,49
37,277,45
37,108,49
37,210,49
37,144,12
37,128,44
38,186,21
38,34,50
38,103,23
38,137,49
38,63,15
39,33,36
39,17,31
39,1,23
39,110,5
39,192,42
39,193,15
39,226,22
40,241,38
40,61,35
40,45,23
40,225,1
40,192,47
40,79,17
40,266,47
40,110,47
40,33,17
40,62,13
41,241,47
41,23,17
41,264,7
41,72,30
41,149,27
42,23,33
42,9,44
42,99,47
42,244,42
42,262,9
42,241,5
42,234,8
42,150,50
42,173,32
42,180,44
42,40,23
42,177,24
42,147,36
42,77,44
42,112,1
42,22,29
42,199,17
42,72,47
42,67,21
42,227,9
43,170,3
43,65,5
43,227,7
43,168,43
43,241,31
43,95,8
43,86,45
43,53,34
43,244,29
43,72,20
43,255,3
43,23,44
44,8,27
44,105,6
44,229,26
44,123,47
44,54,42
44,250,12
44,15,8
44,47,21
44,17,49
45,131,15
45,54,4
45,273,48
45,255,2
45,251,29
45,164,20
45,202,9
45,183,40
45,37,42
45,166,36
45,229,7
45,17,1
45,264,5
45,120,8
45,126,1
45,162,26
45,203,18
45,115,22
45,99,34
45,101,15
46,265,48
46,29,24
46,230,27
46,105,42
46,102,16
46,257,47
46,54,38
46,47,14
46,220,6
46,170,47
46,272,5
46,277,37
46,229,1
46,278,5
46,74,4
46,41,49
46,210,50
46,139,4
46,17,38
46,75,24
47,193,41
47,189,39
47,91,31
47,80,33
47,23,4
47,147,36
47,198,39
48,80,44
48,192,36
48,147,2
48,248,5
48,19,34
48,53,50
48,25,22
48,63,50
49,116,20
49,80,12
49,15,29
49,240,50
49,177,14
49,30,22
49,31,21
49,280,40
49,114,12
49,241,29
49,158,4
49,6,34
49,88,35
49,83,13
49,90,45
49,70,23
49,119,27
49,221,50
49,246,11
50,205,41
50,175,49
50,170,7
50,78,1
50,80,35
50,82,33
51,113,38
51,15,13
51,164,43
52,209,50
52,91,22
52,105,41
52,155,44
52,227,14
52,158,44
52,259,23
52,102,1
52,279,9
52,46,47
52,110,5
52,262,10
52,270,40
52,222,14
52,204,32
52,243,6
52,164,6
53,100,15
53,113,27
53,57,13
53,243,43
53,15,45
53,47,44
53,70,36
53,224,5
53,51,25
53,2,11
53,136,4
53,96,39
53,133,49
53,17,39
53,150,14
53,277,27
53,207,42
53,254,4
53,245,27
53,269,27
54,226,39
54,100,36
54,57,22
54,277,39
54,268,40
54,105,15
54,185,37
54,273,8
54,202,18
54,51,12
54,230,13
54,234,28
54,222,4
54,116,46
54,239,15
54,231,43
55,57,26
55,51,11
55,277,24
56,177,41
56,57,41
56,235,42
56,277,16
56,51,13
56,134,23
56,261,5
56,75,49
56,34,46
57,139,36
57,110,34
57,97,34
57,189,32
57,184,32
57,82,29
57,240,1
57,88,16
57,46,23
57,12,35
57,234,41
57,167,47
57,204,18
57,203,38
57,269,7
57,212,36
57,76,32
57,79,27
57,160,19
57,270,47
58,12,17
58,71,7
58,104,42
58,18,45
58,167,14
58,270,23
59,12,9
59,270,7
59,167,11
60,194,32
60,217,32
60,241,9
60,218,4
60,100,36
60,12,31
60,68,8
60,270,6
60,35,6
60,54,38
60,89,26
60,167,18
61,125,1
61,118,33
61,148,44
61,159,47
61,21,10
61,225,45
61,178,45
61,252,17
61,149,45
61,34,33
61,194,2
61,184,49
61,78,4
61,56,50
61,65,19
61,256,22
61,75,8
61,195,31
62,242,8
62,272,41
62,57,24
62,178,21
62,216,19
62,156,29
62,27,13
62,128,38
62,98,50
62,259,19
62,167,48
62,50,46
62,200,13
62,210,10
62,150,30
62,91,46
63,276,23
63,97,45
63,180,16
63,98,34
63,29,12
63,50,10
63,178,44
63,240,26
64,88,35
64,16,20
64,99,5
64,93,1
64,105,47
64,169,46
64,136,29
64,249,43
64,178,20
65,280,29
65,17,23
65,108,3
65,247,31
65,140,19
65,114,19
65,177,32
65,134,13
65,142,39
65,129,43
65,157,5
65,24,3
65,28,37
65,146,46
66,12,40
66,22,43
66,116,32
66,90,4
66,129,48
66,114,34
66,70,25
67,131,46
67,129,46
67,230,5
67,114,18
68,29,31
68,227,43
68,135,25
68,14,35
68,156,44
68,60,35
68,71,24
68,224,4
68,129,17
68,153,17
68,114,10
68,37,35
68,228,9
69,271,14
69,258,30
69,198,41
69,157,15
69,48,38
69,41,2
70,153,12
70,211,28
70,274,34
70,18,24
70,258,23
70,41,4
70,138,47
70,96,13
70,159,14
