Id,Label,country,latitude,longitude
1,Goroka,Papua New Guinea,-6.08169,145.391998
2,Madang,Papua New Guinea,-5.20708,145.789001
3,Mount Hagen,Papua New Guinea,-5.82679,144.296005
4,Nadzab,Papua New Guinea,-6.569803,146.725977
5,Port Moresby,Papua New Guinea,-9.44338,147.220001
6,Wewak,Papua New Guinea,-3.58383,143.669006
7,Narssarssuaq,Greenland,61.1605,-45.425999
8,Godthaab,Greenland,64.190903,-51.678101
9,Sondrestrom,Greenland,67.012222,-50.711603
10,Thule,Greenland,76.531197,-68.703201
11,Akureyri,Iceland,65.660004,-18.072701
12,Egilsstadir,Iceland,65.283302,-14.4014
15,Isafjordur,Iceland,66.058098,-23.1353
16,Keflavik,Iceland,63.985001,-22.6056
18,Reykjavik,Iceland,64.129997,-21.940599
21,Sault Sainte Marie,Canada,46.485001,-84.509399
24,St. Anthony,Canada,51.391899,-56.083099
27,Baie Comeau,Canada,49.1325,-68.204399
28,Bagotville,Canada,48.330601,-70.996399
29,Baker Lake,Canada,64.298897,-96.077797
30,Campbell River,Canada,49.950802,-125.271004
31,Brandon,Canada,49.91,-99.951897
32,Cambridge Bay,Canada,69.108101,-105.138
33,Nanaimo,Canada,49.05497,-123.869863
34,Castlegar,Canada,49.296398,-117.632004
36,Charlo,Canada,47.990799,-66.330299
37,Coppermine,Canada,67.816704,-115.143997
40,Clyde River,Canada,70.486099,-68.516701
41,Coral Harbour,Canada,64.193298,-83.359398
45,Deer Lake,Canada,49.2108,-57.391399
48,Dawson Creek,Canada,55.742298,-120.182999
49,Edmonton,Canada,53.3097,-113.580002
50,Eskimo Point,Canada,61.0942,-94.070801
54,Inuvik,Canada,68.304199,-133.483002
55,Iqaluit,Canada,63.756402,-68.555801
56,Fredericton,Canada,45.8689,-66.537201
58,Flin Flon,Canada,54.678101,-101.681999
60,Fort Simpson,Canada,61.760201,-121.237
61,Kingston,Canada,44.2253,-76.596901
62,La Grande Riviere,Canada,53.625301,-77.704201
63,Gaspe,Canada,48.775299,-64.4786
65,Iles De La Madeleine,Canada,47.424702,-61.778099
67,Dryden,Canada,49.831699,-92.744202
68,Holman Island,Canada,70.762802,-117.806
69,Gjoa Haven,Canada,68.635597,-95.849701
70,Hamilton,Canada,43.173599,-79.934998
71,Montreal,Canada,45.517502,-73.416901
72,Hay River,Canada,60.839699,-115.782997
73,Halifax,Canada,44.880798,-63.508598
75,Pond Inlet,Canada,72.683296,-77.966698
77,Stephenville,Canada,48.544201,-58.549999
78,Kamloops,Canada,50.702202,-120.444
79,Waterloo,Canada,43.4608,-80.378601
80,Schefferville,Canada,54.805302,-66.805298
85,Lloydminster,Canada,53.3092,-110.072998
87,Kelowna,Canada,49.9561,-119.377998
90,Fort Mcmurray,Canada,56.653301,-111.222
91,Moosonee,Canada,51.2911,-80.607803
94,Natashquan,Canada,50.189999,-61.7892
99,High Level,Canada,58.621399,-117.165001
100,Ottawa,Canada,45.322498,-75.669197
105,Pickle Lake,Canada,51.4464,-90.214203
106,Port Menier,Canada,49.836399,-64.288597
108,Prince Pupert,Canada,54.286098,-130.445007
109,Fort Chipewyan,Canada,58.7672,-111.116997
111,Quebec,Canada,46.7911,-71.393303
112,Red Deer Industrial,Canada,52.182201,-113.893997
113,Windsor,Canada,42.2756,-82.955597
115,Kenora,Canada,49.7883,-94.363098
116,Lethbridge,Canada,49.630299,-112.800003
117,Moncton,Canada,46.112202,-64.678596
119,Comox,Canada,49.7108,-124.887001
120,Regina,Canada,50.4319,-104.666
121,Thunder Bay,Canada,48.371899,-89.323898
122,Grande Prairie,Canada,55.179699,-118.885002
125,Gander,Canada,48.936901,-54.5681
126,Sydney,Canada,46.1614,-60.047798
127,Quesnel,Canada,53.0261,-122.510002
128,Resolute,Canada,74.716904,-94.969398
132,Rankin Inlet,Canada,62.811401,-92.115799
133,Sudbury,Canada,46.625,-80.798897
135,St. John,Canada,45.316101,-65.890297
136,Fort Smith,Canada,60.020302,-111.961998
139,Sachs Harbour,Canada,71.993896,-125.242996
140,Cape Dorset,Canada,64.230003,-76.526703
141,Thompson,Canada,55.801102,-97.864197
143,Timmins,Canada,48.569698,-81.376701
144,Toronto,Canada,43.627499,-79.396202
145,Tuktoyaktuk,Canada,69.433296,-133.026001
146,Montreal,Canada,45.4706,-73.740799
147,Repulse Bay,Canada,66.5214,-86.224701
148,Hall Beach,Canada,68.7761,-81.2425
149,Rouyn,Canada,48.2061,-78.835602
152,Broughton Island,Canada,67.545799,-64.031403
153,Val D'or,Canada,48.053299,-77.782799
154,Quujjuaq,Canada,58.0961,-68.426903
155,Norman Wells,Canada,65.281601,-126.797997
156,Vancouver,Canada,49.193901,-123.183998
160,Winnipeg,Canada,49.91,-97.239899
161,Wabush,Canada,52.921902,-66.864403
162,Williams Lake,Canada,52.183102,-122.054001
164,Cranbrook,Canada,49.610802,-115.781998
166,Saskatoon,Canada,52.170799,-106.699997
167,Medicine Hat,Canada,50.018902,-110.721001
168,Fort Saint John,Canada,56.238098,-120.739998
169,Sioux Lookout,Canada,50.113899,-91.905296
170,Pangnirtung,Canada,66.144997,-65.7136
172,Prince George,Canada,53.8894,-122.679001
173,Terrace,Canada,54.468498,-128.576009
174,London,Canada,43.035599,-81.1539
175,Abbotsford,Canada,49.025299,-122.361
176,Whitehorse,Canada,60.709599,-135.067001
177,North Bay,Canada,46.363602,-79.422798
178,Calgary,Canada,51.113899,-114.019997
179,Smithers,Canada,54.824699,-127.182999
180,Fort Nelson,Canada,58.836399,-122.597
181,Penticton,Canada,49.4631,-119.601997
182,Charlottetown,Canada,46.290001,-63.121101
183,Spence Bay,Canada,69.5467,-93.576698
184,Victoria,Canada,48.6469,-123.426003
187,Churchill,Canada,58.739201,-94.065002
188,Goose Bay,Canada,53.319199,-60.4258
189,St. John's,Canada,47.618599,-52.7519
190,Kapuskasing,Canada,49.413898,-82.467499
192,Mont Joli,Canada,48.608601,-68.208099
193,Toronto,Canada,43.6772,-79.6306
196,Yellowknife,Canada,62.462799,-114.440002
198,Sandspit,Canada,53.254299,-131.813995
199,Sarnia,Canada,42.999401,-82.308899
200,Port Hardy,Canada,50.680599,-127.366997
202,Sept-iles,Canada,50.223301,-66.265602
206,Fort Mcpherson,Canada,67.407501,-134.860992
209,Bejaja,Algeria,36.712002,5.06992
210,Algier,Algeria,36.691002,3.21541
211,Djanet,Algeria,24.292801,9.45244
216,Tamanrasset,Algeria,22.811501,5.45108
220,Annaba,Algeria,36.822201,7.809174
221,Constantine,Algeria,36.276001,6.62039
222,Tebessa,Algeria,35.431599,8.12072
224,Tilrempt,Algeria,32.930401,3.31154
225,Tiaret,Algeria,35.341099,1.46315
230,Tlemcen,Algeria,35.016701,-1.45
231,Oran,Algeria,35.623901,-0.621183
233,Ghriss,Algeria,35.207699,0.147142
234,Adrar,Algeria,27.837601,-0.186414
235,Biskra,Algeria,34.793301,5.73823
236,El Golea,Algeria,30.571301,2.85959
237,Ghardaia,Algeria,32.384102,3.79411
238,Hassi Messaoud,Algeria,31.673,6.14044
239,In Salah,Algeria,27.250999,2.51202
240,Touggourt,Algeria,33.067799,6.08867
243,Ouargla,Algeria,31.9172,5.41278
244,Zarzaitine,Algeria,28.0515,9.64291
245,Cotonou,Benin,6.35723,2.38435
246,Ouagadougou,Burkina Faso,12.3532,-1.51242
247,Bobo-dioulasso,Burkina Faso,11.1601,-4.33097
248,Accra,Ghana,5.60519,-0.166786
249,Tamale,Ghana,9.55719,-0.863214
251,Sunyani,Ghana,7.36183,-2.32876
252,Takoradi,Ghana,4.89606,-1.77476
253,Abidjan,Cote d'Ivoire,5.26139,-3.92629
260,Abuja,Nigeria,9.00679,7.26317
262,Benin,Nigeria,6.31698,5.5995
263,Calabar,Nigeria,4.97602,8.3472
264,Enugu,Nigeria,6.47427,7.56196
266,Ibadan,Nigeria,7.36246,3.97833
267,Ilorin,Nigeria,8.44021,4.49392
268,Jos,Nigeria,9.63983,8.86905
269,Kaduna,Nigeria,10.696,7.32011
270,Kano,Nigeria,12.0476,8.52462
273,Lagos,Nigeria,6.57737,3.32116
275,Port Hartcourt,Nigeria,5.01549,6.94959
276,Sokoto,Nigeria,12.9163,5.20719
277,Yola,Nigeria,9.25755,12.4304
280,Niamey,Niger,13.4815,2.18361
286,Monastir,Tunisia,35.758099,10.7547
287,Tunis,Tunisia,36.851002,10.2272
290,Gafsa,Tunisia,34.422001,8.8225
291,Gabes,Tunisia,33.8769,10.1033
293,Djerba,Tunisia,33.875,10.7755
295,Sfax,Tunisia,34.717999,10.691
296,Tozeur,Tunisia,33.939701,8.11056
298,Lome,Togo,6.16561,1.25451
299,Antwerp,Belgium,51.1894,4.46028
302,Brussels,Belgium,50.901402,4.48444
304,Charleroi,Belgium,50.459202,4.45382
309,Liege,Belgium,50.637402,5.44322
310,Ostend,Belgium,51.198898,2.86222
337,Berlin,Germany,52.380001,13.5225
338,Dresden,Germany,51.132801,13.7672
